year,code,cause,cause_level,dalys,dalys_thousands,dalys_millions,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,total_dalys,pct_all_dalys
2000,750,Bladder cancer,3,3442686.26257478,3442.68626257478,3.44268626257478,NA,NA,16.,Bladder cancer,NA,2841004961.46513,0.0012117846710128087
2000,751,Brain and nervous system cancers,3,7140960.84032401,7140.96084032401,7.14096084032401,NA,NA,17.,Brain and nervous system cancers,NA,2841004961.46513,0.00251353339300096
2000,752,Gallbladder and biliary tract cancer,3,2567579.90281939,2567.57990281939,2.5675799028193897,NA,NA,18.,Gallbladder and biliary tract cancer,NA,2841004961.46513,9.037576271937475e-4
2000,753,Larynx cancer,3,2781648.4284764,2781.6484284764,2.7816484284764003,NA,NA,19.,Larynx cancer,NA,2841004961.46513,9.791072054453158e-4
2000,754,Thyroid cancer,3,831965.830877177,831.9658308771769,0.8319658308771769,NA,NA,20.,Thyroid cancer,NA,2841004961.46513,2.928420900919952e-4
2000,755,Mesothelioma,3,403593.410008854,403.593410008854,0.403593410008854,NA,NA,21.,Mesothelioma,NA,2841004961.46513,1.4206008630154504e-4
2000,760,"Lymphomas, multiple myeloma",3,9397845.28646735,9397.845286467349,9.39784528646735,NA,NA,22.,"Lymphomas, multiple myeloma",NA,2841004961.46513,0.003307929909992414
2000,761,Hodgkin lymphoma,4,1306832.50287566,1306.83250287566,1.30683250287566,NA,NA,NA,a.,Hodgkin lymphoma,2841004961.46513,4.5998951800552845e-4
2000,762,Non-Hodgkin lymphoma,4,6428523.3437407,6428.5233437407,6.4285233437407,NA,NA,NA,b.,Non-Hodgkin lymphoma,2841004961.46513,0.002262763856781671
2000,763,Multiple myeloma,4,1662489.43985099,1662.48943985099,1.66248943985099,NA,NA,NA,c.,Multiple myeloma,2841004961.46513,5.85176535205215e-4
2000,770,Leukaemia,3,11853948.0051609,11853.9480051609,11.8539480051609,NA,NA,23.,Leukaemia,NA,2841004961.46513,0.004172448892538266
2000,780,Other malignant neoplasms,3,14572368.0483726,14572.3680483726,14.572368048372601,NA,NA,24.,Other malignant neoplasms,NA,2841004961.46513,0.0051293004574189515
2000,790,Other neoplasms,2,1847314.22060347,1847.31422060347,1.84731422060347,NA,B.,Other neoplasms,NA,NA,2841004961.46513,6.502326626176656e-4
2000,800,Diabetes mellitus,2,38102039.9942775,38102.0399942775,38.1020399942775,NA,C.,Diabetes mellitus,NA,NA,2841004961.46513,0.013411465488827573
2000,810,"Endocrine, blood, immune disorders",2,20406714.4976702,20406.7144976702,20.4067144976702,NA,D.,"Endocrine, blood, immune disorders",NA,NA,2841004961.46513,0.007182921105194511
2000,811,Thalassaemias,3,2971858.40848605,2971.85840848605,2.97185840848605,NA,NA,1.,Thalassaemias,NA,2841004961.46513,0.001046058859029038
2000,812,Sickle cell disorders and trait,3,3570353.44140935,3570.35344140935,3.57035344140935,NA,NA,2.,Sickle cell disorders and trait,NA,2841004961.46513,0.0012567220014878429
2000,813,Other haemoglobinopathies and haemolytic anaemias,3,3869380.20839763,3869.38020839763,3.8693802083976303,NA,NA,3.,Other haemoglobinopathies and haemolytic anaemias,NA,2841004961.46513,0.0013619758715247574
2000,814,"Other endocrine, blood and immune disorders",3,9995122.43937712,9995.122439377119,9.99512243937712,NA,NA,4.,"Other endocrine, blood and immune disorders",NA,2841004961.46513,0.0035181643731528552
2000,820,Mental and substance use disorders,2,136022601.788462,136022.60178846202,136.02260178846203,NA,E.,Mental and substance use disorders,NA,NA,2841004961.46513,0.04787834010621158
2000,830,Depressive disorders,3,36945016.4667635,36945.016466763496,36.9450164667635,NA,NA,1.,Depressive disorders,NA,2841004961.46513,0.013004206950666727
2000,840,Bipolar disorder,3,5884817.05036104,5884.81705036104,5.88481705036104,NA,NA,2.,Bipolar disorder,NA,2841004961.46513,0.002071385699842703
2000,850,Schizophrenia,3,10724720.323337,10724.720323337,10.724720323337,NA,NA,3.,Schizophrenia,NA,2841004961.46513,0.0037749741618917036
2000,860,Alcohol use disorders,3,16442765.9421864,16442.7659421864,16.4427659421864,NA,NA,4.,Alcohol use disorders,NA,2841004961.46513,0.00578765829881083
2000,870,Drug use disorders,3,11211164.1112963,11211.1641112963,11.2111641112963,NA,NA,5.,Drug use disorders,NA,2841004961.46513,0.003946196597106473
2000,871,Opioid use disorders,4,7239229.46514073,7239.22946514073,7.23922946514073,NA,NA,NA,a.,Opioid use disorders,2841004961.46513,0.0025481227816678644
2000,872,Cocaine use disorders,4,775493.281615254,775.493281615254,0.775493281615254,NA,NA,NA,b.,Cocaine use disorders,2841004961.46513,2.729644235521946e-4
2000,873,Amphetamine use disorders,4,1782651.61919758,1782.65161919758,1.78265161919758,NA,NA,NA,c.,Amphetamine use disorders,2841004961.46513,6.274721950074497e-4
2000,874,Cannabis use disorders,4,544861.261522708,544.861261522708,0.544861261522708,NA,NA,NA,d.,Cannabis use disorders,2841004961.46513,1.9178469200621125e-4
2000,875,Other drug use disorders,4,868928.483819986,868.928483819986,0.868928483819986,NA,NA,NA,e.,Other drug use disorders,2841004961.46513,3.058525048727378e-4
2000,880,Anxiety disorders,3,27792614.6111328,27792.6146111328,27.7926146111328,NA,NA,6.,Anxiety disorders,NA,2841004961.46513,0.00978267021286718
2000,890,Eating disorders,3,2493421.20730915,2493.4212073091503,2.49342120730915,NA,NA,7.,Eating disorders,NA,2841004961.46513,8.776546472566778e-4
2000,900,Austism and Asperger syndrome,3,9078130.33250622,9078.13033250622,9.078130332506221,NA,NA,8.,Austism and Asperger syndrome,NA,2841004961.46513,0.0031953940438824695
2000,910,Childhood behavioural disorders,3,5473761.56388627,5473.76156388627,5.47376156388627,NA,NA,9.,Childhood behavioural disorders,NA,2841004961.46513,0.0019266990512622707
2000,911,Attention deficit/hyperactivity syndrome,4,983379.88559734,983.3798855973399,0.9833798855973399,NA,NA,NA,a.,Attention deficit/hyperactivity syndrome,2841004961.46513,3.461380388051849e-4
2000,912,Conduct disorder,4,4490381.67828893,4490.38167828893,4.49038167828893,NA,NA,NA,b.,Conduct disorder,2841004961.46513,0.001580561012457086
2000,920,Idiopathic intellectual disability,3,3784630.46667044,3784.63046667044,3.78463046667044,NA,NA,10.,Idiopathic intellectual disability,NA,2841004961.46513,0.001332144969123417
2000,930,Other mental and behavioural disorders,3,6191559.71301288,6191.55971301288,6.19155971301288,NA,NA,11.,Other mental and behavioural disorders,NA,2841004961.46513,0.0021793554735011237
